id,comida_preferida,frecuencia_consumo,gasto_promedio,satisfaccion_producto,satisfaccion_servicio,tiempo_entrega,precio_percepcion,recomendaria_nps,volveria_comprar,calificacion_general
6133,Hot Dogs,Diario,28,4,8,Rápido,Medio,2,No,5
6134,Pollo Frito,Quincenal,97,6,9,Aceptable,Medio,0,No,5
6135,Pizza,Mensual,141,9,6,Rápido,Medio,7,Sí,7
6136,Pizza,Semanal,92,9,10,Lento,Medio,9,Sí,9
6137,Hamburguesas,Semanal,85,10,4,Rápido,Medio,0,No,5
6138,Pizza,Mensual,76,3,3,Rápido,Bajo,9,No,5
6139,Tacos,Quincenal,90,7,7,Aceptable,Medio,0,No,5
6140,Pollo Frito,Mensual,40,7,2,Aceptable,Alto,7,Sí,5
6141,Sándwiches,Semanal,35,5,10,Rápido,Bajo,8,No,8
6142,Shawarmas,Semanal,41,7,6,Aceptable,Medio,10,Sí,8
6143,Shawarmas,Semanal,74,6,6,Rápido,Medio,9,Sí,7
6144,Pizza,Ocasional,91,8,7,Rápido,Medio,10,Sí,8
6145,Hamburguesas,Quincenal,59,0,4,Aceptable,Medio,4,No,3
6146,Hamburguesas,Semanal,72,5,6,Aceptable,Bajo,10,No,7
6147,Sándwiches,Semanal,71,5,5,Aceptable,Medio,0,No,3
6148,Hot Dogs,Quincenal,63,7,7,Rápido,Medio,2,Sí,5
6149,Hamburguesas,Semanal,70,8,7,Rápido,Alto,9,Sí,8
6150,Pizza,Ocasional,118,0,5,Aceptable,Medio,10,Sí,5
6151,Sándwiches,Semanal,51,8,8,Rápido,Alto,5,No,7
6152,Pizza,Ocasional,55,1,6,Lento,Medio,8,Sí,5
6153,Sándwiches,Ocasional,60,10,5,Aceptable,Medio,7,Sí,7
6154,Tacos,Quincenal,45,8,6,Rápido,Medio,10,Sí,8
6155,Pizza,Quincenal,139,10,8,Aceptable,Bajo,9,Sí,9
6156,Pollo Frito,Semanal,105,7,7,Rápido,Medio,9,Sí,8
6157,Shawarmas,Semanal,67,10,9,Rápido,Bajo,3,Sí,7
6158,Pizza,Semanal,113,3,5,Rápido,Bajo,10,Sí,6
6159,Pollo Frito,Semanal,92,7,8,Rápido,Medio,8,Sí,8
6160,Pizza,Quincenal,123,10,9,Aceptable,Medio,5,No,8
6161,Pizza,Semanal,160,6,6,Aceptable,Medio,4,No,5
6162,Sándwiches,Mensual,27,9,9,Aceptable,Medio,10,Sí,9
6163,Pizza,Mensual,130,7,9,Rápido,Medio,7,Sí,8
6164,Pollo Frito,Semanal,118,3,5,Rápido,Medio,8,Sí,5
6165,Pollo Frito,Diario,101,7,8,Aceptable,Alto,8,Sí,8
6166,Pollo Frito,Quincenal,64,3,9,Lento,Medio,5,Sí,6
6167,Hot Dogs,Semanal,75,8,5,Rápido,Medio,7,Sí,7
6168,Pizza,Semanal,62,10,9,Aceptable,Medio,10,Sí,10
6169,Pollo Frito,Semanal,94,5,2,Rápido,Bajo,7,Sí,5
6170,Hamburguesas,Quincenal,120,9,6,Rápido,Medio,6,No,7
6171,Pollo Frito,Semanal,69,8,9,Rápido,Alto,5,No,7
6172,Hamburguesas,Ocasional,105,8,8,Lento,Medio,7,Sí,8
6173,Pizza,Quincenal,60,9,8,Rápido,Medio,0,No,6
6174,Tacos,Semanal,79,10,4,Rápido,Bajo,6,No,7
6175,Pollo Frito,Semanal,95,4,7,Rápido,Medio,8,Sí,6
6176,Shawarmas,Mensual,60,0,9,Lento,Medio,8,Sí,6
6177,Pizza,Semanal,137,7,7,Rápido,Bajo,0,Sí,5
6178,Hot Dogs,Semanal,60,3,8,Aceptable,Medio,9,No,7
6179,Hamburguesas,Semanal,107,2,1,Aceptable,Alto,4,Sí,2
6180,Pizza,Semanal,47,0,8,Aceptable,Alto,4,No,4
6181,Pizza,Semanal,104,8,9,Lento,Medio,9,Sí,9
6182,Hot Dogs,Mensual,67,8,10,Rápido,Alto,4,Sí,7
6183,Hamburguesas,Quincenal,118,7,8,Aceptable,Bajo,0,No,5
6184,Pizza,Semanal,159,6,6,Aceptable,Alto,6,Sí,6
6185,Pollo Frito,Quincenal,108,4,8,Lento,Bajo,8,Sí,7
6186,Pizza,Quincenal,110,7,6,Lento,Medio,1,No,5
6187,Hamburguesas,Semanal,91,3,10,Rápido,Alto,10,Sí,8
6188,Pollo Frito,Quincenal,95,3,6,Aceptable,Bajo,8,Sí,6
6189,Pollo Frito,Quincenal,70,7,4,Aceptable,Alto,9,Sí,7
6190,Sándwiches,Mensual,94,10,7,Rápido,Alto,7,Sí,8
6191,Sándwiches,Mensual,68,8,10,Lento,Alto,8,Sí,9
6192,Pizza,Quincenal,101,8,8,Lento,Medio,1,No,6
6193,Pizza,Quincenal,140,10,5,Aceptable,Alto,4,No,6
6194,Pollo Frito,Semanal,95,4,5,Rápido,Medio,10,Sí,6
6195,Tacos,Quincenal,80,7,9,Aceptable,Medio,3,No,6
6196,Pizza,Semanal,88,6,9,Rápido,Alto,10,Sí,8
6197,Pollo Frito,Quincenal,78,8,8,Aceptable,Medio,10,Sí,9
6198,Hamburguesas,Mensual,77,3,4,Rápido,Medio,7,No,5
6199,Hamburguesas,Semanal,92,10,0,Rápido,Bajo,9,Sí,6
6200,Pollo Frito,Mensual,48,0,7,Rápido,Medio,8,Sí,5
6201,Pizza,Semanal,78,10,8,Rápido,Medio,9,Sí,9
6202,Pollo Frito,Quincenal,117,8,7,Lento,Bajo,8,Sí,8
6203,Hamburguesas,Semanal,71,9,7,Aceptable,Alto,8,Sí,8
6204,Shawarmas,Semanal,62,8,8,Aceptable,Bajo,0,No,5
6205,Pizza,Mensual,49,10,7,Aceptable,Medio,6,Sí,8
6206,Pizza,Ocasional,159,4,7,Rápido,Medio,8,Sí,6
6207,Pizza,Ocasional,134,5,1,Aceptable,Medio,6,No,4
6208,Pizza,Ocasional,80,0,3,Rápido,Bajo,6,Sí,3
6209,Pollo Frito,Semanal,37,9,10,Aceptable,Bajo,8,Sí,9
6210,Hamburguesas,Semanal,98,5,5,Aceptable,Bajo,8,Sí,6
6211,Hamburguesas,Mensual,90,6,9,Rápido,Medio,5,Sí,7
6212,Pollo Frito,Mensual,87,7,7,Aceptable,Alto,3,No,6
6213,Tacos,Mensual,55,4,2,Rápido,Medio,7,Sí,4
6214,Pollo Frito,Quincenal,89,3,10,Lento,Medio,4,No,6
6215,Pizza,Mensual,151,8,3,Aceptable,Bajo,9,Sí,7
6216,Hamburguesas,Semanal,38,7,7,Rápido,Medio,5,Sí,6
6217,Hot Dogs,Mensual,21,2,9,Aceptable,Alto,10,No,7
6218,Hamburguesas,Semanal,78,5,9,Aceptable,Alto,8,No,7
6219,Hamburguesas,Quincenal,43,5,9,Lento,Medio,8,Sí,7
6220,Hamburguesas,Mensual,110,10,6,Rápido,Alto,10,Sí,9
6221,Hamburguesas,Quincenal,82,3,3,Aceptable,Alto,6,No,4
6222,Tacos,Mensual,31,7,7,Aceptable,Medio,9,Sí,8
6223,Hot Dogs,Quincenal,31,0,9,Aceptable,Medio,3,No,4
6224,Pizza,Ocasional,89,9,2,Rápido,Medio,10,Sí,7
6225,Hot Dogs,Quincenal,34,7,6,Aceptable,Medio,8,Sí,7
6226,Pizza,Semanal,62,10,7,Rápido,Bajo,9,Sí,9
6227,Hot Dogs,Quincenal,34,6,10,Lento,Alto,0,No,5
6228,Pizza,Quincenal,87,7,9,Rápido,Medio,4,No,7
6229,Hot Dogs,Ocasional,72,7,9,Rápido,Medio,0,Sí,5
6230,Hot Dogs,Quincenal,23,1,6,Rápido,Alto,10,Sí,6
6231,Shawarmas,Semanal,69,0,7,Rápido,Bajo,8,No,5
6232,Pizza,Quincenal,134,7,6,Lento,Alto,7,Sí,7
6233,Pollo Frito,Quincenal,59,8,9,Rápido,Medio,5,Sí,7
6234,Pizza,Semanal,150,9,10,Rápido,Medio,7,Sí,9
6235,Tacos,Semanal,49,8,4,Rápido,Medio,1,Sí,4
6236,Sándwiches,Mensual,90,1,0,Aceptable,Alto,7,Sí,3
6237,Shawarmas,Semanal,92,5,9,Lento,Medio,8,Sí,7
6238,Pizza,Semanal,114,4,10,Lento,Bajo,4,Sí,6
6239,Pollo Frito,Semanal,73,5,8,Lento,Alto,6,No,6
6240,Tacos,Ocasional,73,4,4,Rápido,Bajo,7,Sí,5
6241,Pizza,Semanal,91,8,7,Rápido,Medio,5,No,7
6242,Shawarmas,Quincenal,52,4,0,Rápido,Bajo,10,Sí,5
6243,Pizza,Ocasional,56,7,6,Aceptable,Medio,5,Sí,6
6244,Hot Dogs,Ocasional,42,10,9,Aceptable,Medio,8,Sí,9
6245,Shawarmas,Semanal,70,3,10,Aceptable,Alto,4,Sí,6
6246,Sándwiches,Quincenal,32,7,7,Rápido,Medio,8,Sí,7
6247,Tacos,Mensual,36,7,9,Lento,Bajo,8,Sí,8
6248,Pizza,Quincenal,59,1,8,Rápido,Medio,5,Sí,5
6249,Pollo Frito,Diario,109,6,6,Aceptable,Medio,7,Sí,6
6250,Pizza,Semanal,152,8,5,Rápido,Medio,8,Sí,7
6251,Tacos,Quincenal,48,9,0,Rápido,Medio,6,Sí,5
6252,Pollo Frito,Mensual,37,7,10,Aceptable,Medio,8,Sí,8
6253,Pollo Frito,Mensual,75,6,8,Lento,Medio,10,Sí,8
6254,Pizza,Quincenal,142,2,9,Aceptable,Medio,9,No,7
6255,Hamburguesas,Mensual,43,10,7,Rápido,Alto,9,Sí,9
6256,Pollo Frito,Ocasional,106,4,4,Aceptable,Medio,8,No,5
6257,Hot Dogs,Semanal,70,9,9,Aceptable,Alto,8,Sí,9
6258,Hamburguesas,Quincenal,74,6,6,Rápido,Medio,8,Sí,7
6259,Pollo Frito,Quincenal,110,2,3,Rápido,Medio,9,No,5
6260,Pollo Frito,Semanal,103,3,7,Rápido,Alto,5,No,5
6261,Pizza,Quincenal,86,5,9,Lento,Medio,10,Sí,8
6262,Tacos,Mensual,81,4,10,Rápido,Alto,9,No,8
6263,Pizza,Ocasional,131,7,0,Aceptable,Medio,9,Sí,5
6264,Hamburguesas,Semanal,41,9,6,Rápido,Bajo,10,Sí,8
6265,Pollo Frito,Mensual,116,8,4,Aceptable,Medio,10,Sí,7
6266,Hot Dogs,Quincenal,66,5,10,Rápido,Medio,6,No,7
6267,Pollo Frito,Ocasional,78,0,1,Rápido,Bajo,7,No,3
6268,Hamburguesas,Quincenal,99,6,9,Rápido,Medio,8,Sí,8
6269,Sándwiches,Mensual,45,8,9,Aceptable,Alto,4,Sí,7
6270,Sándwiches,Semanal,71,7,9,Aceptable,Medio,6,No,7
6271,Pizza,Diario,82,5,9,Rápido,Medio,5,No,6
6272,Hot Dogs,Semanal,61,3,2,Aceptable,Medio,8,No,4
6273,Pizza,Semanal,90,9,5,Aceptable,Medio,8,Sí,7
6274,Pizza,Quincenal,64,8,4,Rápido,Alto,9,Sí,7
6275,Hamburguesas,Semanal,98,7,10,Rápido,Alto,8,Sí,8
6276,Hot Dogs,Quincenal,53,4,8,Aceptable,Medio,8,No,7
6277,Pizza,Ocasional,130,0,10,Rápido,Medio,8,No,6
6278,Hamburguesas,Mensual,58,6,9,Aceptable,Bajo,6,Sí,7
6279,Pizza,Semanal,69,1,4,Rápido,Medio,5,Sí,3
6280,Hamburguesas,Semanal,42,7,8,Rápido,Bajo,10,Sí,8
6281,Pollo Frito,Semanal,57,4,2,Lento,Medio,9,No,5
6282,Pollo Frito,Diario,79,6,10,Aceptable,Alto,4,No,7
6283,Tacos,Ocasional,66,9,6,Aceptable,Medio,0,No,5
6284,Hot Dogs,Diario,53,9,9,Rápido,Medio,1,Sí,6
6285,Hamburguesas,Quincenal,60,10,8,Aceptable,Medio,9,Sí,9
6286,Pollo Frito,Mensual,87,9,7,Rápido,Medio,7,Sí,8
6287,Tacos,Ocasional,48,8,5,Rápido,Bajo,6,Sí,6
6288,Pizza,Ocasional,58,10,9,Rápido,Alto,9,Sí,9
6289,Sándwiches,Mensual,27,7,4,Aceptable,Alto,10,Sí,7
6290,Pizza,Ocasional,158,9,9,Aceptable,Bajo,1,No,6
6291,Sándwiches,Quincenal,54,8,7,Aceptable,Bajo,9,Sí,8
6292,Sándwiches,Quincenal,37,10,9,Lento,Bajo,0,No,6
6293,Hot Dogs,Quincenal,48,7,8,Aceptable,Bajo,6,No,7
6294,Pizza,Quincenal,141,10,7,Aceptable,Medio,7,Sí,8
6295,Hot Dogs,Semanal,45,8,9,Lento,Medio,3,Sí,7
6296,Pollo Frito,Quincenal,115,2,8,Rápido,Medio,5,Sí,5
6297,Hamburguesas,Semanal,36,9,8,Rápido,Alto,10,Sí,9
6298,Pollo Frito,Semanal,75,8,9,Rápido,Alto,4,No,7
6299,Sándwiches,Quincenal,83,5,7,Rápido,Medio,5,No,6
6300,Hamburguesas,Ocasional,106,6,7,Rápido,Medio,8,Sí,7
6301,Hamburguesas,Mensual,49,2,7,Lento,Bajo,7,No,5
6302,Pizza,Quincenal,100,7,6,Rápido,Medio,8,Sí,7
6303,Hamburguesas,Mensual,57,6,0,Rápido,Medio,9,Sí,5
6304,Hot Dogs,Quincenal,32,8,9,Aceptable,Medio,8,Sí,8
6305,Pizza,Semanal,61,1,2,Aceptable,Medio,7,No,3
6306,Pizza,Semanal,105,8,2,Aceptable,Alto,8,Sí,6
6307,Pizza,Quincenal,68,9,4,Rápido,Alto,6,Sí,6
6308,Tacos,Quincenal,28,9,1,Rápido,Medio,4,No,5
6309,Hamburguesas,Semanal,77,5,8,Lento,Medio,8,Sí,7
6310,Shawarmas,Quincenal,67,7,7,Lento,Bajo,8,Sí,7
6311,Tacos,Semanal,83,3,9,Aceptable,Medio,9,Sí,7
6312,Hamburguesas,Diario,87,10,5,Rápido,Medio,9,Sí,8
6313,Hamburguesas,Quincenal,81,9,1,Aceptable,Alto,4,Sí,5
6314,Tacos,Semanal,89,1,3,Lento,Bajo,6,Sí,3
6315,Pollo Frito,Quincenal,51,8,8,Lento,Medio,10,Sí,9
6316,Hamburguesas,Mensual,72,9,7,Aceptable,Bajo,1,No,6
6317,Pizza,Quincenal,122,4,10,Rápido,Medio,0,No,5
6318,Hot Dogs,Semanal,63,7,0,Rápido,Medio,8,Sí,5
6319,Pollo Frito,Quincenal,88,8,9,Aceptable,Medio,8,Sí,8
6320,Pollo Frito,Semanal,113,3,4,Aceptable,Bajo,4,Sí,4
6321,Pollo Frito,Semanal,75,9,9,Lento,Medio,9,Sí,9
6322,Pizza,Semanal,63,5,5,Aceptable,Medio,5,No,5
6323,Pollo Frito,Ocasional,120,2,9,Aceptable,Medio,8,No,6
6324,Sándwiches,Semanal,49,3,7,Aceptable,Alto,9,No,6
6325,Pizza,Quincenal,101,2,7,Rápido,Alto,2,No,4
6326,Shawarmas,Semanal,59,7,9,Rápido,Medio,6,Sí,7
6327,Tacos,Mensual,57,7,4,Lento,Alto,0,Sí,4
6328,Shawarmas,Ocasional,93,9,9,Aceptable,Medio,4,Sí,7
6329,Shawarmas,Semanal,57,7,7,Aceptable,Medio,9,Sí,8
6330,Hot Dogs,Quincenal,37,9,3,Rápido,Bajo,1,Sí,4
6331,Pollo Frito,Quincenal,35,8,7,Aceptable,Medio,5,No,7
6332,Tacos,Ocasional,70,8,7,Rápido,Medio,7,Sí,7
6333,Tacos,Quincenal,54,5,6,Aceptable,Alto,5,Sí,5
6334,Sándwiches,Semanal,93,9,10,Lento,Alto,8,Sí,9
6335,Pizza,Quincenal,138,5,9,Lento,Bajo,6,Sí,7
6336,Sándwiches,Mensual,40,4,8,Rápido,Medio,1,No,4
6337,Shawarmas,Mensual,75,4,5,Rápido,Bajo,3,No,4
6338,Hamburguesas,Semanal,92,4,2,Rápido,Medio,9,Sí,5
6339,Pollo Frito,Semanal,85,7,9,Rápido,Bajo,7,Sí,8
6340,Hamburguesas,Mensual,73,5,8,Aceptable,Medio,8,Sí,7
6341,Pizza,Semanal,125,7,10,Aceptable,Medio,9,Sí,9
6342,Hot Dogs,Ocasional,68,8,3,Aceptable,Alto,8,Sí,6
6343,Pizza,Semanal,83,3,8,Aceptable,Medio,9,Sí,7
6344,Hot Dogs,Diario,71,4,8,Aceptable,Alto,1,Sí,4
6345,Pizza,Mensual,79,4,9,Rápido,Alto,5,Sí,6
6346,Pollo Frito,Mensual,38,9,5,Aceptable,Alto,10,Sí,8
6347,Tacos,Semanal,88,9,8,Aceptable,Bajo,10,Sí,9
6348,Pizza,Quincenal,156,9,7,Rápido,Medio,8,Sí,8
6349,Shawarmas,Mensual,99,7,9,Rápido,Bajo,2,Sí,6
6350,Sándwiches,Mensual,78,10,10,Aceptable,Alto,9,Sí,10
6351,Pollo Frito,Ocasional,67,8,7,Rápido,Medio,7,Sí,7
6352,Pollo Frito,Quincenal,67,5,5,Rápido,Bajo,2,No,4
6353,Hamburguesas,Semanal,57,6,10,Lento,Medio,5,Sí,7
6354,Pollo Frito,Semanal,99,6,9,Aceptable,Medio,0,Sí,5
6355,Sándwiches,Mensual,87,8,9,Aceptable,Bajo,4,No,7
6356,Tacos,Mensual,43,5,9,Rápido,Medio,9,Sí,8
6357,Hamburguesas,Mensual,104,4,7,Rápido,Medio,9,No,7
6358,Pizza,Quincenal,134,5,0,Lento,Alto,4,No,3
6359,Hamburguesas,Ocasional,71,10,9,Aceptable,Medio,8,Sí,9
6360,Tacos,Quincenal,80,9,8,Rápido,Medio,7,Sí,8
6361,Sándwiches,Mensual,41,8,9,Rápido,Alto,7,Sí,8
6362,Hamburguesas,Mensual,111,0,10,Rápido,Bajo,8,Sí,6
6363,Pizza,Mensual,105,8,10,Aceptable,Medio,3,Sí,7
6364,Pollo Frito,Semanal,104,7,9,Rápido,Bajo,4,Sí,7
6365,Pollo Frito,Quincenal,64,8,4,Lento,Medio,7,Sí,6
6366,Shawarmas,Semanal,74,9,5,Lento,Medio,5,No,6
6367,Shawarmas,Mensual,52,6,9,Aceptable,Medio,9,Sí,8
6368,Hot Dogs,Quincenal,21,7,7,Rápido,Bajo,6,No,7
6369,Tacos,Semanal,85,7,10,Rápido,Medio,9,Sí,9
6370,Hot Dogs,Semanal,66,8,10,Lento,Medio,10,Sí,9
6371,Pollo Frito,Mensual,107,0,2,Rápido,Bajo,7,Sí,3
6372,Pizza,Quincenal,85,9,10,Rápido,Medio,9,Sí,9
6373,Pizza,Semanal,160,6,4,Aceptable,Medio,6,Sí,5
6374,Hamburguesas,Mensual,99,9,6,Rápido,Medio,7,Sí,7
6375,Shawarmas,Quincenal,33,9,2,Rápido,Medio,4,Sí,5
6376,Pizza,Quincenal,53,8,7,Rápido,Medio,8,Sí,8
6377,Pollo Frito,Mensual,90,10,8,Rápido,Alto,7,Sí,8
6378,Pollo Frito,Quincenal,69,1,8,Rápido,Medio,9,No,6
6379,Hamburguesas,Mensual,103,10,5,Aceptable,Medio,3,Sí,6
6380,Pollo Frito,Quincenal,47,8,9,Rápido,Medio,2,Sí,6
6381,Hamburguesas,Quincenal,89,6,9,Rápido,Alto,6,No,7
6382,Pollo Frito,Mensual,79,8,10,Aceptable,Bajo,9,Sí,9
6383,Shawarmas,Diario,89,6,4,Aceptable,Medio,7,Sí,6
6384,Pollo Frito,Semanal,78,7,9,Rápido,Alto,9,Sí,8
6385,Hamburguesas,Semanal,50,8,10,Rápido,Medio,4,No,7
6386,Hamburguesas,Mensual,81,10,8,Aceptable,Medio,5,Sí,8
6387,Pizza,Semanal,99,7,7,Rápido,Medio,5,No,6
6388,Pizza,Diario,101,6,2,Rápido,Medio,4,Sí,4
6389,Tacos,Quincenal,63,0,8,Aceptable,Medio,9,Sí,6
6390,Pizza,Quincenal,137,3,7,Rápido,Medio,8,Sí,6
6391,Tacos,Semanal,57,0,9,Rápido,Bajo,8,No,6
6392,Hot Dogs,Mensual,37,8,2,Aceptable,Alto,8,Sí,6
6393,Pollo Frito,Mensual,126,7,9,Lento,Alto,3,Sí,6
6394,Pizza,Quincenal,83,9,10,Rápido,Medio,8,Sí,9
6395,Shawarmas,Mensual,74,8,7,Aceptable,Alto,1,Sí,5
6396,Hamburguesas,Semanal,48,7,8,Rápido,Alto,2,Sí,6
6397,Shawarmas,Diario,63,6,4,Aceptable,Medio,8,Sí,6
6398,Tacos,Ocasional,38,9,7,Rápido,Medio,1,No,6
6399,Hot Dogs,Semanal,50,8,8,Lento,Alto,10,Sí,9
6400,Hamburguesas,Quincenal,116,1,7,Rápido,Medio,2,No,3
6401,Pollo Frito,Mensual,45,7,7,Rápido,Medio,7,Sí,7
6402,Hamburguesas,Quincenal,94,0,1,Aceptable,Medio,9,No,3
6403,Pollo Frito,Semanal,104,9,9,Lento,Alto,5,Sí,8
6404,Tacos,Semanal,34,9,6,Aceptable,Alto,6,No,7
6405,Sándwiches,Semanal,74,4,7,Aceptable,Alto,9,Sí,7
6406,Pizza,Ocasional,120,3,1,Rápido,Bajo,6,No,3
6407,Tacos,Mensual,77,1,10,Aceptable,Medio,7,No,6
6408,Pizza,Quincenal,87,8,8,Rápido,Alto,7,Sí,8
6409,Pizza,Semanal,119,5,4,Lento,Medio,9,No,6
6410,Pollo Frito,Ocasional,115,4,0,Rápido,Medio,10,No,5
6411,Hamburguesas,Quincenal,46,1,0,Rápido,Bajo,4,Sí,2
6412,Shawarmas,Mensual,81,7,2,Aceptable,Medio,8,Sí,6
6413,Hamburguesas,Semanal,114,10,8,Lento,Medio,2,Sí,7
6414,Tacos,Semanal,43,9,8,Rápido,Medio,6,Sí,8
6415,Pizza,Mensual,118,3,10,Rápido,Medio,6,No,6
6416,Shawarmas,Ocasional,39,10,7,Rápido,Bajo,7,Sí,8
6417,Pizza,Semanal,141,9,5,Aceptable,Medio,0,Sí,5
6418,Tacos,Semanal,84,9,10,Aceptable,Medio,6,Sí,8
6419,Pollo Frito,Semanal,108,3,9,Rápido,Bajo,0,Sí,4
6420,Pizza,Semanal,85,9,5,Rápido,Bajo,8,Sí,7
6421,Pollo Frito,Semanal,38,9,10,Rápido,Bajo,5,No,8
6422,Hamburguesas,Mensual,87,8,7,Rápido,Alto,8,Sí,8
6423,Pollo Frito,Quincenal,59,10,3,Rápido,Alto,7,Sí,7
6424,Hamburguesas,Quincenal,87,5,6,Rápido,Bajo,10,Sí,7
6425,Pollo Frito,Mensual,45,5,8,Rápido,Medio,9,No,7
6426,Shawarmas,Quincenal,60,10,2,Rápido,Medio,8,Sí,7
6427,Pollo Frito,Semanal,114,9,10,Rápido,Bajo,6,Sí,8
6428,Shawarmas,Diario,34,8,4,Aceptable,Medio,8,Sí,7
6429,Pizza,Mensual,126,7,9,Rápido,Alto,10,Sí,9
6430,Pizza,Mensual,49,5,8,Rápido,Bajo,8,No,7
6431,Pizza,Semanal,100,6,4,Rápido,Medio,8,Sí,6
6432,Tacos,Semanal,43,4,8,Aceptable,Medio,10,No,7
6433,Pizza,Semanal,89,10,6,Aceptable,Medio,5,Sí,7
6434,Hot Dogs,Quincenal,56,9,7,Rápido,Medio,0,No,5
6435,Pollo Frito,Mensual,77,9,10,Aceptable,Medio,10,Sí,10
6436,Pollo Frito,Ocasional,120,10,10,Aceptable,Bajo,2,No,7
6437,Pollo Frito,Diario,74,7,8,Rápido,Bajo,8,Sí,8
6438,Shawarmas,Mensual,76,6,8,Aceptable,Medio,7,Sí,7
6439,Pizza,Mensual,95,9,4,Rápido,Alto,3,Sí,5
6440,Hamburguesas,Semanal,65,10,8,Lento,Bajo,3,Sí,7
6441,Shawarmas,Quincenal,84,7,10,Rápido,Bajo,10,Sí,9
6442,Pollo Frito,Semanal,72,10,2,Rápido,Medio,6,Sí,6
6443,Pizza,Diario,160,3,10,Rápido,Bajo,5,No,6
6444,Tacos,Quincenal,31,9,8,Aceptable,Bajo,9,Sí,9
6445,Pollo Frito,Quincenal,37,1,7,Aceptable,Medio,7,No,5
6446,Hamburguesas,Semanal,120,6,4,Rápido,Medio,4,No,5
6447,Pollo Frito,Semanal,90,9,10,Aceptable,Medio,6,Sí,8
6448,Hamburguesas,Semanal,61,3,6,Rápido,Medio,9,No,6
6449,Hot Dogs,Mensual,31,2,6,Rápido,Medio,8,No,5
6450,Pizza,Semanal,115,7,8,Aceptable,Medio,4,Sí,6
6451,Tacos,Quincenal,88,7,5,Rápido,Medio,4,Sí,5
6452,Hamburguesas,Ocasional,83,3,5,Rápido,Medio,2,No,3
6453,Pizza,Quincenal,125,6,7,Rápido,Bajo,7,Sí,7
6454,Tacos,Ocasional,65,10,6,Lento,Medio,3,No,6
6455,Hot Dogs,Mensual,74,10,8,Rápido,Medio,10,Sí,9
6456,Pollo Frito,Quincenal,116,0,5,Lento,Alto,7,No,4
6457,Shawarmas,Mensual,69,8,3,Lento,Medio,8,Sí,6
6458,Pollo Frito,Quincenal,114,0,6,Rápido,Medio,6,Sí,4
6459,Sándwiches,Semanal,37,1,10,Aceptable,Medio,9,Sí,7
6460,Tacos,Mensual,38,2,8,Aceptable,Medio,8,Sí,6
6461,Hamburguesas,Semanal,93,10,9,Lento,Medio,9,Sí,9
6462,Pollo Frito,Semanal,86,4,9,Rápido,Medio,4,No,6
6463,Sándwiches,Mensual,76,8,10,Rápido,Medio,7,Sí,8
6464,Hamburguesas,Semanal,86,9,9,Aceptable,Medio,9,Sí,9
6465,Shawarmas,Mensual,40,8,0,Rápido,Medio,3,Sí,4
6466,Pizza,Mensual,105,9,3,Rápido,Alto,10,Sí,7
6467,Pizza,Semanal,148,1,10,Rápido,Medio,9,Sí,7
6468,Sándwiches,Semanal,35,7,9,Aceptable,Medio,2,Sí,6
6469,Sándwiches,Semanal,33,9,7,Lento,Medio,6,No,7
6470,Pollo Frito,Quincenal,61,6,8,Rápido,Medio,6,No,7
6471,Pollo Frito,Semanal,47,3,6,Rápido,Alto,7,No,5
6472,Pizza,Mensual,147,0,6,Lento,Medio,8,No,5
6473,Tacos,Quincenal,74,8,8,Aceptable,Bajo,5,No,7
6474,Pizza,Mensual,160,10,5,Aceptable,Bajo,8,Sí,8
6475,Pollo Frito,Semanal,37,9,7,Rápido,Alto,8,Sí,8
6476,Tacos,Quincenal,67,8,1,Aceptable,Alto,3,No,4
6477,Tacos,Semanal,31,7,7,Rápido,Medio,7,Sí,7
6478,Pizza,Mensual,149,5,10,Aceptable,Medio,6,Sí,7
6479,Hamburguesas,Quincenal,117,3,9,Rápido,Medio,0,Sí,4
6480,Hamburguesas,Semanal,97,3,8,Rápido,Alto,7,Sí,6
6481,Sándwiches,Ocasional,48,9,7,Aceptable,Medio,5,Sí,7
6482,Hamburguesas,Ocasional,101,7,8,Lento,Medio,7,Sí,7
6483,Sándwiches,Semanal,45,10,9,Rápido,Bajo,9,Sí,9
6484,Sándwiches,Semanal,82,5,7,Rápido,Medio,8,Sí,7
6485,Shawarmas,Semanal,91,10,6,Lento,Medio,10,Sí,9
6486,Tacos,Semanal,48,9,9,Aceptable,Alto,10,Sí,9
6487,Shawarmas,Diario,69,0,4,Rápido,Alto,8,No,4
6488,Pizza,Semanal,150,8,8,Rápido,Alto,8,Sí,8
6489,Pizza,Mensual,146,1,2,Rápido,Medio,8,No,4
6490,Hamburguesas,Quincenal,116,9,7,Aceptable,Alto,6,No,7
6491,Pollo Frito,Quincenal,96,8,9,Rápido,Medio,9,Sí,9
6492,Pollo Frito,Semanal,75,9,5,Aceptable,Medio,4,No,6
6493,Hot Dogs,Quincenal,75,10,8,Rápido,Alto,2,No,7
6494,Hamburguesas,Semanal,73,4,7,Rápido,Medio,1,Sí,4
6495,Pizza,Quincenal,82,8,7,Aceptable,Medio,0,No,5
6496,Pollo Frito,Semanal,121,10,5,Rápido,Medio,1,No,5
6497,Pollo Frito,Semanal,58,10,7,Aceptable,Medio,8,Sí,8
6498,Sándwiches,Mensual,83,6,5,Rápido,Medio,3,Sí,5
6499,Pizza,Quincenal,73,6,8,Rápido,Medio,7,Sí,7
